name,price,management
Paris,1.74,délégation
Marseille,1.94,délégation
Lyon,1.81,délégation
Toulouse,1.72,délégation
Nice,1.74,mixte
Nantes,1.81,régie
Strasbourg,1.64,régie
Montpellier,1.6,régie
Bordeaux,2.04,délégation
Rennes,2.09,régie
Le Havre,2.42,régie
Reims,1.54,mixte
Lille,1.99,mixte
Saint-Étienne,1.76,régie
Toulon,2.42,délégation
Grenoble,1.6,régie
Angers,1.77,régie
Dijon,2.11,délégation
Brest,2.11,délégation SPL
Le Mans,1.79,régie
Clermont-Ferrand,1.8,régie
Amiens,1.63,régie
Aix-en-Provence,1.46,régie
Limoges,1.68,régie
Nîmes,2.23,délégation
Tours,1.44,régie
Saint-Denis,1.05,délégation
Villeurbanne,1.81,délégation
Metz,1.71,délégation
Besançon,1.62,régie
Caen,1.99,délégation
Orléans,1.36,délégation
Mulhouse,2.07,régie
Rouen,1.93,mixte
Boulogne-Billancourt,1.97,régie
Perpignan,1.97,mixte
Nancy,2.38,régie
Roubaix,1.99,mixte
Fort-de-France,2.74,mixte
Argenteuil,1.97,délégation